63,000000
39,200001
43,200001
48,250000
55,150002
49,049999
48,250000
47,799999
48,250000
45,599998
57,500000
56,650002
39,599998
40,549999
58,950001
53,650002
45,049999
50,599998
42,950001
59,049999
56,650002
50,400002
56,400002
52,650002
37,049999
51,650002
45,599998
54,150002
48,950001
51,099998
48,500000
51,700001
50,799999
51,650002
54,400002
49,900002
59,400002
50,599998
43,000000
52,099998
47,650002
59,299999
58,400002
53,599998
44,049999
59,400002
36,599998
61,849998
64,849998
52,549999
